Winner	Score	Loser	Score	Goodness
Rams	27	Ravens	10	20
Cardinals	25	Eagles	24	48
Saints	19	Panthers	10	20
Titans	36	Bengals	35	70
Cowboys	41	Redskins	35	70
Bears	20	Chiefs	17	34
Patriots	30	Jets	28	56
Packers	28	Raiders	24	48
Lions	28	Seahawks	20	40
Vikings	17	Falcons	14	28
Giants	17	Buccaneers	13	26
Jaguars	41	49ers	3	6
Steelers	43	Browns	0	0
Colts	31	Bills	14	28
Dolphins	38	Broncos	21	42
Dolphins	19	Cardinals	16	32
Bills	17	Jets	3	6
Lions	23	Packers	15	30
Patriots	31	Colts	28	56
Jaguars	22	Panthers	20	40
Raiders	22	Vikings	17	34
Steelers	23	Ravens	20	40
Chargers	24	Bengals	7	14
Seahawks	14	Bears	13	26
Buccaneers	19	Eagles	5	10
Redskins	50	Giants	21	42
49ers	28	Saints	21	42
Titans	26	Browns	9	18
Chiefs	26	Broncos	10	20
Cowboys	24	Falcons	7	14
Rams	35	Falcons	7	14
Redskins	27	Jets	20	40
Panthers	27	Bengals	3	6
Ravens	17	Browns	10	20
Buccaneers	13	Broncos	10	20
Chiefs	31	Lions	21	42
Bills	26	Eagles	0	0
Seahawks	29	Steelers	10	20
Titans	20	Jaguars	19	38
Colts	27	Chargers	19	38
Raiders	24	Bears	17	34
Packers	23	Vikings	20	40
Patriots	16	Giants	14	28
49ers	24	Cardinals	10	20
Jets	21	Broncos	13	26
49ers	24	Titans	22	44
Seahawks	22	Raiders	21	42
Cowboys	35	Cardinals	7	14
Ravens	19	Falcons	13	26
Jaguars	17	Steelers	3	6
Patriots	19	Browns	7	14
Bears	14	Saints	10	20
Giants	16	Eagles	15	30
Rams	38	Bengals	10	20
Vikings	21	Buccaneers	14	28
Redskins	38	Panthers	36	72
Chargers	21	Chiefs	14	28
Bills	23	Dolphins	18	36
Rams	42	49ers	20	40
Cardinals	14	Giants	3	6
Titans	14	Ravens	11	22
Broncos	16	Raiders	13	26
Dolphins	34	Colts	31	62
Packers	26	Buccaneers	23	46
Bears	24	Vikings	22	44
Chargers	20	Lions	10	20
Eagles	13	Cowboys	10	20
Chiefs	16	Patriots	14	28
Bills	24	Steelers	21	42
Falcons	20	Saints	17	34
Bengals	18	Browns	17	34
Jaguars	16	Jets	6	12
Jaguars	24	Browns	7	14
Colts	16	Jets	13	26
Dolphins	31	Patriots	30	60
Lions	25	Vikings	23	46
Raiders	20	Bills	14	28
Eagles	20	Bears	16	32
Steelers	17	Bengals	3	6
Rams	41	Falcons	13	26
Titans	24	Saints	21	42
Chargers	13	Seahawks	10	20
Panthers	31	49ers	29	58
Broncos	31	Packers	10	20
