Winner	Score	Loser	Score	Goodness
Rams	14	Cardinals	12	24
Lions	31	Falcons	28	56
Browns	28	Bengals	20	40
Cowboys	26	Steelers	9	18
Colts	45	Oilers	21	42
Chiefs	30	Saints	17	34
Packers	16	Vikings	10	20
Dolphins	39	Patriots	35	70
Jets	23	Bills	3	6
Giants	38	Eagles	23	46
Seahawks	28	Redskins	7	14
Bears	21	Buccaneers	9	18
Chargers	37	Broncos	34	68
49ers	44	Raiders	14	28
Bills	38	Patriots	35	70
Chargers	27	Bengals	10	20
Jets	25	Broncos	22	44
Vikings	10	Lions	3	6
Cowboys	20	Oilers	17	34
Buccaneers	24	Colts	10	20
Falcons	31	Rams	13	26
Dolphins	24	Packers	14	28
Steelers	17	Browns	10	20
Chiefs	24	49ers	17	34
Seahawks	38	Raiders	9	18
Redskins	38	Saints	24	48
Giants	20	Cardinals	17	34
Eagles	30	Bears	22	44
Bills	15	Oilers	7	14
Eagles	13	Packers	7	14
Steelers	31	Colts	21	42
Raiders	48	Broncos	16	32
Vikings	42	Bears	14	28
Patriots	21	Bengals	28	56
Browns	32	Cardinals	0	0
Dolphins	28	Jets	14	28
Chargers	24	Seahawks	10	20
49ers	34	Rams	19	38
Giants	31	Redskins	23	46
Chiefs	30	Falcons	10	20
Saints	9	Buccaneers	7	14
Lions	20	Cowboys	17	34
Falcons	27	Redskins	20	40
Oilers	20	Bengals	13	26
Browns	21	Colts	14	28
Rams	16	Chiefs	0	0
Vikings	38	Dolphins	35	70
Patriots	23	Lions	17	34
49ers	24	Saints	13	26
Seahawks	30	Steelers	13	26
Chargers	26	Raiders	24	48
Packers	30	Buccaneers	3	6
Bears	19	Jets	7	14
Bills	27	Broncos	20	40
Falcons	8	Rams	5	10
Bears	20	Bills	13	26
Cowboys	34	Redskins	7	14
Buccaneers	24	Lions	14	28
Patriots	17	Packers	16	32
Cardinals	17	Vikings	7	14
Saints	27	Giants	22	44
Browns	27	Jets	7	14
Eagles	40	49ers	8	16
Colts	17	Seahawks	15	30
Dolphins	23	Bengals	7	14
Steelers	30	Oilers	14	28
Cowboys	38	Cardinals	3	6
Broncos	16	Seahawks	9	18
Jets	16	Colts	6	12
Chargers	20	Chiefs	6	12
Raiders	21	Patriots	17	34
Packers	24	Rams	17	34
Bills	21	Dolphins	11	22
Bears	17	Saints	7	14
49ers	27	Lions	21	42
Falcons	34	Buccaneers	13	26
Eagles	21	Redskins	17	34
Vikings	27	Giants	10	20
Browns	11	Oilers	8	16
Steelers	14	Bengals	10	20
Colts	27	Bills	17	34
Dolphins	20	Raiders	17	34
Cardinals	19	Redskins	16	32
Jets	24	Patriots	17	34
Rams	17	Giants	10	20
Cowboys	24	Eagles	13	26
Chargers	36	Saints	22	44
49ers	42	Falcons	3	6
Chiefs	31	Broncos	28	56
Vikings	13	Packers	10	20
Broncos	20	Chargers	15	30
Saints	37	Rams	34	68
