Winner	Score	Loser	Score	Goodness
Bengals	24	Cardinals	21	42
Lions	28	Falcons	17	34
Cowboys	37	Steelers	7	14
Dolphins	16	Colts	10	20
Jaguars	28	Ravens	27	54
Broncos	19	Chiefs	3	6
Vikings	34	Bills	13	26
Rams	28	Saints	24	48
Jets	41	Seahawks	3	6
Oilers	24	Raiders	21	42
Giants	31	Eagles	17	34
Patriots	41	Chargers	7	14
Buccaneers	13	49ers	6	12
Redskins	24	Panthers	10	20
Packers	38	Bears	24	48
Bills	28	Jets	22	44
Panthers	9	Falcons	6	12
Ravens	23	Bengals	10	20
Broncos	35	Seahawks	14	28
Eagles	10	Packers	9	18
Vikings	27	Bears	24	48
Patriots	31	Colts	6	12
Jaguars	40	Giants	13	26
Chargers	20	Saints	6	12
49ers	15	Rams	12	24
Buccaneers	24	Lions	17	34
Dolphins	16	Oilers	13	26
Steelers	14	Redskins	13	26
Cardinals	25	Cowboys	22	44
Chiefs	28	Raiders	27	54
Chiefs	22	Bills	16	32
Panthers	26	Chargers	7	14
Lions	32	Bears	7	14
Packers	23	Dolphins	18	36
49ers	33	Saints	7	14
Raiders	36	Falcons	31	62
Ravens	24	Giants	23	46
Seahawks	31	Colts	3	6
Buccaneers	28	Vikings	14	28
Patriots	27	Jets	24	48
Broncos	35	Rams	14	28
Redskins	19	Cardinals	13	26
Cowboys	21	Eagles	20	40
49ers	34	Falcons	7	14
Ravens	36	Oilers	10	20
Patriots	31	Bears	3	6
Broncos	38	Bengals	20	40
Saints	35	Lions	17	34
Bills	37	Colts	35	70
Chiefs	35	Panthers	14	28
Packers	38	Vikings	32	64
Rams	13	Giants	3	6
Jets	23	Raiders	22	44
Seahawks	26	Chargers	22	44
Buccaneers	31	Dolphins	21	42
Jaguars	30	Steelers	21	42
Buccaneers	19	Cardinals	18	36
Chargers	21	Ravens	17	34
Cowboys	27	Bears	3	6
Broncos	29	Falcons	21	42
Lions	26	Packers	15	30
Redskins	24	Jaguars	12	24
Giants	14	Saints	9	18
Jets	31	Bengals	14	28
Raiders	35	Rams	17	34
Chiefs	20	Seahawks	17	34
Steelers	37	Oilers	24	48
Vikings	28	Eagles	19	38
49ers	34	Panthers	21	42
Jaguars	21	Bengals	13	26
Giants	20	Cowboys	17	34
Bills	22	Lions	13	26
Dolphins	17	Chiefs	14	28
Vikings	20	Cardinals	19	38
Jets	16	Colts	12	24
Steelers	42	Ravens	34	68
Chargers	25	Raiders	10	20
Packers	21	Buccaneers	16	32
Seahawks	16	Oilers	13	26
Eagles	24	Redskins	10	20
Saints	20	Bears	17	34
Broncos	34	Patriots	13	26
Jaguars	38	Eagles	21	42
49ers	30	Rams	10	20
Steelers	24	Colts	22	44
Vikings	21	Panthers	14	28
Patriots	33	Bills	6	12
Falcons	23	Saints	17	34
Oilers	30	Bengals	7	14
Lions	27	Buccaneers	9	18
Packers	24	Bears	23	46
Dolphins	31	Jets	20	40
Giants	27	Cardinals	13	26
Redskins	21	Cowboys	16	32
Chiefs	31	Chargers	3	6
Panthers	13	Saints	0	0
Raiders	28	Broncos	25	50
Cowboys	26	Jaguars	22	44
Dolphins	24	Ravens	13	26
49ers	35	Falcons	28	56
Giants	26	Lions	20	40
Seahawks	17	Rams	9	18
Oilers	28	Redskins	14	28
Eagles	13	Cardinals	10	20
Jets	24	Patriots	19	38
