Winner	Score	Loser	Score	Goodness
Steelers	26	Bengals	10	20
Bills	9	Colts	6	12
Ravens	20	Redskins	17	34
Giants	29	Bengals	27	54
Eagles	13	Cowboys	12	24
Broncos	23	Bills	20	40
Chargers	35	Colts	19	38
Steelers	23	Jaguars	17	34
Chiefs	28	Rams	20	40
Panthers	21	Falcons	12	24
Vikings	10	Buccaneers	6	12
Seahawks	45	Raiders	34	68
49ers	23	Saints	0	0
Oilers	41	Cardinals	14	28
Packers	28	Patriots	10	20
Bears	36	Dolphins	33	66
Jets	19	Ravens	16	32
49ers	17	Cowboys	10	20
Jaguars	30	Oilers	24	48
Bills	9	Dolphins	6	12
Vikings	23	Patriots	18	36
Panthers	38	Raiders	14	28
Packers	20	Lions	10	20
Falcons	34	Rams	31	62
Bengals	38	Chargers	31	62
Broncos	30	Seahawks	27	54
Buccaneers	31	Colts	28	56
Redskins	31	Bears	8	16
Cardinals	31	Eagles	21	42
Chiefs	13	Steelers	10	20
Vikings	29	Bears	22	44
Broncos	34	Panthers	0	0
Redskins	30	Lions	7	14
Jaguars	24	Chiefs	10	20
Patriots	31	Bills	10	20
Saints	13	Raiders	10	20
Oilers	10	Giants	6	12
Dolphins	24	Jets	17	34
Packers	17	Rams	7	14
Seahawks	37	Chargers	31	62
Buccaneers	31	Falcons	10	20
Steelers	37	Ravens	0	0
Bengals	28	Colts	13	26
Cowboys	24	Cardinals	6	12
49ers	24	Eagles	12	24
Giants	19	Cardinals	10	20
Falcons	27	Rams	21	42
49ers	27	Panthers	19	38
Steelers	20	Bengals	3	6
Chiefs	24	Broncos	22	44
Colts	41	Packers	38	76
Lions	38	Vikings	15	30
Buccaneers	27	Patriots	7	14
Jets	23	Bears	15	30
Eagles	10	Ravens	10	20
Saints	20	Seahawks	17	34
Jaguars	17	Oilers	9	18
Cowboys	17	Redskins	14	28
Raiders	38	Chargers	13	26
Dolphins	30	Bills	13	26
Patriots	27	Dolphins	24	48
Lions	32	Colts	10	20
Falcons	20	Saints	3	6
Eagles	23	Steelers	20	40
49ers	17	Chargers	10	20
Bears	13	Buccaneers	7	14
Redskins	7	Giants	7	14
Jets	23	Vikings	21	42
Bengals	31	Jaguars	26	52
Chiefs	19	Seahawks	14	28
Cardinals	16	Ravens	13	26
Oilers	31	Bills	14	28
Panthers	16	Rams	10	20
Packers	45	Cowboys	17	34
Broncos	31	Raiders	3	6
Lions	55	Bears	20	40
Oilers	27	Cowboys	14	28
Eagles	44	Bengals	42	84
Patriots	20	Colts	17	34
Dolphins	34	Raiders	16	32
Jaguars	29	Ravens	27	54
Falcons	24	Seahawks	17	34
Saints	16	Panthers	13	26
Bills	20	Jets	10	20
Steelers	26	Cardinals	20	40
Rams	23	Redskins	20	40
Chiefs	44	49ers	9	18
Buccaneers	20	Giants	8	16
Broncos	38	Chargers	28	56
Packers	27	Vikings	11	22
Bengals	41	Oilers	14	28
Falcons	14	Chargers	3	6
Bears	20	Bills	3	6
Steelers	35	Broncos	24	48
Packers	17	Buccaneers	6	12
Colts	22	Jets	14	28
49ers	28	Vikings	17	34
Patriots	26	Jaguars	20	40
Giants	31	Eagles	21	42
Chiefs	30	Raiders	0	0
Rams	34	Saints	27	54
Ravens	31	Seahawks	24	48
Redskins	38	Cardinals	28	56
Dolphins	33	Lions	30	60
Panthers	23	Cowboys	13	26
Steelers	24	Patriots	21	42
Giants	30	Redskins	10	20
Lions	14	Vikings	13	26
Packers	31	Panthers	10	20
Jaguars	20	Bills	14	28
Bengals	31	Cowboys	24	48
Saints	27	Cardinals	10	20
Chiefs	29	Chargers	7	14
Colts	41	Dolphins	0	0
Falcons	20	Eagles	17	34
Seahawks	22	Raiders	21	42
Jets	31	Buccaneers	0	0
Ravens	21	Oilers	19	38
Bears	13	Rams	10	20
49ers	34	Broncos	17	34
Packers	31	Bills	21	42
Rams	30	Panthers	18	36
Lions	13	Jets	10	20
Redskins	35	Eagles	32	64
Oilers	16	Steelers	6	12
Giants	20	Cowboys	7	14
Chiefs	25	Saints	13	26
Broncos	38	Chargers	3	6
Seahawks	38	49ers	9	18
Jaguars	20	Raiders	9	18
Vikings	39	Colts	28	56
Buccaneers	31	Bears	15	30
Bengals	16	Ravens	14	28
Cardinals	29	Falcons	26	52
Patriots	14	Dolphins	12	24
