Winner	Score	Loser	Score	Goodness
Lions	30	Falcons	13	26
Browns	27	Bengals	14	28
Broncos	26	Jets	20	40
Chiefs	27	Buccaneers	3	6
Packers	36	Rams	6	12
Dolphins	24	Colts	20	40
Raiders	24	Vikings	7	14
Bills	38	Patriots	14	28
Giants	26	Bears	20	40
Eagles	23	Cardinals	17	34
49ers	24	Steelers	13	26
Chargers	18	Seahawks	12	24
Saints	33	Oilers	21	42
Redskins	35	Cowboys	16	32
Bills	13	Cowboys	10	20
Vikings	10	Bears	7	14
Lions	19	Patriots	16	32
Colts	9	Bengals	6	12
Oilers	30	Chiefs	0	0
Saints	34	Falcons	31	62
Jets	24	Dolphins	14	28
Eagles	20	Packers	17	34
Cardinals	17	Redskins	10	20
Rams	27	Steelers	0	0
Broncos	34	Chargers	17	34
Giants	23	Buccaneers	7	14
Raiders	17	Seahawks	13	26
Browns	23	49ers	13	26
49ers	37	Falcons	30	60
Steelers	34	Bengals	7	14
Browns	19	Raiders	16	32
Saints	14	Lions	3	6
Chargers	18	Oilers	17	34
Giants	20	Rams	10	20
Seahawks	17	Patriots	14	28
Eagles	34	Redskins	31	62
Cowboys	17	Cardinals	10	20
Chiefs	15	Broncos	7	14
Colts	23	Browns	10	20
Vikings	15	Packers	13	26
Rams	28	Oilers	13	26
Dolphins	22	Bills	13	26
Lions	26	Cardinals	20	40
Saints	16	49ers	13	26
Seahawks	19	Bengals	10	20
Bears	47	Buccaneers	17	34
Jets	45	Patriots	7	14
Steelers	45	Falcons	17	34
Bears	6	Falcons	0	0
Buccaneers	27	Lions	10	20
Cowboys	36	Packers	14	28
Broncos	35	Colts	13	26
Chiefs	24	Raiders	9	18
49ers	38	Vikings	19	38
Saints	37	Rams	6	12
Eagles	35	Jets	30	60
Seahawks	31	Chargers	14	28
Bills	17	Giants	14	28
Dolphins	17	Redskins	10	20
Chiefs	17	Bengals	15	30
Cowboys	27	Colts	3	6
Dolphins	24	Browns	14	28
Patriots	23	Cardinals	21	42
Giants	41	Redskins	7	14
