Winner	Score	Loser	Score	Goodness
Jaguars	23	Cowboys	17	34
Raiders	15	Chargers	13	26
Titans	27	Redskins	21	42
Ravens	27	Bengals	7	14
Dolphins	23	Lions	8	16
Eagles	16	Cowboys	13	26
Bills	16	Patriots	13	26
Bears	27	Colts	24	48
Buccaneers	27	Falcons	14	28
Saints	31	49ers	15	30
Titans	9	Steelers	7	14
Giants	24	Browns	3	6
Cardinals	16	Redskins	15	30
Raiders	49	Chiefs	31	62
Seahawks	17	Chargers	15	30
Broncos	30	Jets	23	46
Panthers	27	Rams	24	48
Packers	26	Vikings	20	40
Seahawks	28	Jaguars	21	42
Saints	20	Panthers	10	20
Cowboys	23	Bengals	6	12
Bills	20	Bears	3	6
Ravens	24	Titans	23	46
Lions	13	Falcons	10	20
Vikings	31	Cardinals	14	28
Eagles	26	Steelers	23	46
Browns	19	Patriots	11	22
49ers	21	Chiefs	7	14
Dolphins	17	Chargers	7	14
Buccaneers	20	Packers	15	30
Rams	38	Giants	24	48
Colts	23	Jets	15	30
Broncos	27	Raiders	24	48
Titans	24	Browns	10	20
Packers	26	Colts	24	48
Bears	13	Buccaneers	10	20
Bills	21	Chiefs	17	34
Vikings	31	Panthers	17	34
Patriots	16	Bengals	13	26
Raiders	31	Saints	22	44
Eagles	34	Cardinals	9	18
Lions	31	Giants	21	42
Jets	20	Dolphins	3	6
Broncos	38	Chargers	37	74
Ravens	27	Cowboys	0	0
49ers	16	Falcons	6	12
Jaguars	34	Steelers	24	48
Redskins	33	Rams	20	40
Lions	34	Patriots	9	18
Vikings	27	Cowboys	15	30
Steelers	48	Bengals	28	56
Eagles	23	Redskins	20	40
Saints	31	Rams	24	48
Ravens	44	Browns	7	14
Jets	17	Bears	10	20
Buccaneers	31	Bills	17	34
Raiders	41	Falcons	14	28
Dolphins	17	Colts	14	28
Broncos	38	Seahawks	31	62
Chargers	17	Chiefs	16	32
Jaguars	16	Titans	13	26
Giants	31	Cardinals	7	14
Panthers	31	Packers	14	28
Vikings	24	Lions	17	34
Bengals	24	Cardinals	13	26
Titans	15	Eagles	13	26
Seahawks	30	Falcons	10	20
Panthers	16	Rams	3	6
Steelers	21	Raiders	20	40
Buccaneers	27	Cowboys	7	14
Broncos	38	Saints	23	46
Dolphins	33	Bills	6	12
Giants	9	Redskins	7	14
49ers	45	Chargers	17	34
Jets	27	Colts	17	34
Jaguars	48	Browns	0	0
Packers	28	Bears	6	12
Patriots	30	Chiefs	24	48
Jaguars	44	Cardinals	10	20
Chiefs	15	Panthers	14	28
Buccaneers	16	Dolphins	13	26
Ravens	24	Chargers	3	6
Giants	30	Steelers	10	20
Eagles	35	Browns	24	48
Bears	24	Patriots	17	34
Titans	35	Bengals	3	6
Packers	26	Lions	13	26
Broncos	31	Seahawks	24	48
Saints	31	49ers	27	54
Cowboys	32	Redskins	13	26
Rams	40	Vikings	29	58
Raiders	31	Jets	7	14
Colts	44	Bills	20	40
Steelers	24	Redskins	3	6
Seahawks	27	Raiders	24	48
Saints	23	Falcons	7	14
Packers	33	Vikings	28	56
Titans	24	Browns	0	0
Panthers	30	Chargers	22	44
Patriots	13	Bills	10	20
Bengals	17	Jaguars	14	28
Chiefs	20	Broncos	7	14
Lions	10	Jets	7	14
49ers	17	Bears	0	0
Colts	20	Dolphins	13	26
Ravens	13	Cardinals	7	14
Giants	17	Cowboys	13	26
Buccaneers	38	Rams	35	70
Giants	28	Jaguars	25	50
Broncos	38	49ers	9	18
Bills	42	Seahawks	23	46
Redskins	20	Cardinals	3	6
Falcons	29	Chiefs	13	26
Packers	17	Buccaneers	14	28
Rams	26	Saints	21	42
Ravens	34	Jets	20	40
Bears	23	Lions	20	40
Eagles	16	Bengals	7	14
Dolphins	27	Patriots	24	48
Steelers	34	Chargers	21	42
Colts	31	Vikings	10	20
Raiders	52	Panthers	9	18
Titans	31	Cowboys	0	0
