Winner	Score	Loser	Score	Goodness
Ravens	16	Steelers	0	0
Falcons	36	49ers	28	56
Redskins	20	Panthers	17	34
Vikings	30	Bears	27	54
Giants	21	Cardinals	16	32
Colts	27	Chiefs	14	28
Jaguars	27	Browns	7	14
Buccaneers	21	Patriots	16	32
Lions	14	Saints	10	20
Eagles	41	Cowboys	14	28
Dolphins	23	Seahawks	0	0
Raiders	9	Chargers	6	12
Jets	20	Packers	16	32
Bills	16	Titans	13	26
Rams	41	Broncos	36	72
Raiders	38	Colts	31	62
Giants	33	Eagles	18	36
Buccaneers	41	Bears	0	0
Browns	24	Bengals	7	14
Bills	27	Packers	18	36
Ravens	39	Jaguars	36	72
Titans	17	Chiefs	14	28
Vikings	13	Dolphins	7	14
Saints	28	Chargers	27	54
Broncos	42	Falcons	14	28
Panthers	38	49ers	22	44
Lions	15	Redskins	10	20
Rams	37	Seahawks	34	68
Cardinals	32	Cowboys	31	62
Jets	20	Patriots	19	38
Rams	41	49ers	24	48
Chiefs	42	Chargers	10	20
Jaguars	13	Bengals	0	0
Falcons	15	Panthers	10	20
Browns	23	Steelers	20	40
Jets	27	Bills	14	28
Buccaneers	31	Lions	10	20
Packers	6	Eagles	3	6
Broncos	33	Raiders	24	48
Seahawks	20	Saints	10	20
Vikings	21	Patriots	13	26
Giants	14	Bears	7	14
Dolphins	19	Ravens	6	12
Cowboys	27	Redskins	21	42
Lions	21	Bears	14	28
49ers	41	Cowboys	24	48
Rams	41	Falcons	20	40
Ravens	37	Bengals	0	0
Dolphins	10	Patriots	3	6
Titans	23	Steelers	20	40
Eagles	21	Saints	7	14
Packers	29	Cardinals	3	6
Seahawks	20	Chargers	12	24
Chiefs	23	Broncos	22	44
Raiders	36	Browns	10	20
Jets	21	Buccaneers	17	34
Redskins	16	Giants	6	12
Colts	43	Jaguars	14	28
Vikings	31	Lions	24	48
Rams	57	Chargers	31	62
Steelers	24	Jaguars	13	26
Titans	28	Giants	14	28
Colts	18	Bills	16	32
Cowboys	16	Panthers	13	26
Ravens	12	Browns	0	0
Dolphins	31	Bengals	16	32
Patriots	28	Broncos	19	38
Redskins	20	Buccaneers	17	34
Bears	27	Packers	24	48
49ers	27	Cardinals	20	40
Eagles	38	Falcons	10	20
Chiefs	24	Seahawks	17	34
Dolphins	22	Bills	13	26
Redskins	17	Eagles	14	28
Lions	31	Packers	24	48
Patriots	24	Colts	16	32
Saints	31	Bears	10	20
Titans	23	Bengals	14	28
Steelers	20	Jets	3	6
Cardinals	29	Browns	21	42
Giants	13	Falcons	6	12
Panthers	26	Seahawks	3	6
Broncos	21	Chargers	7	14
Raiders	34	49ers	28	56
Ravens	15	Jaguars	10	20
Vikings	30	Buccaneers	23	46
Redskins	10	Ravens	3	6
Giants	19	Cowboys	14	28
Steelers	15	Bengals	0	0
Saints	24	Panthers	6	12
Raiders	20	Chiefs	17	34
Rams	45	Falcons	29	58
Bills	27	Chargers	24	48
Eagles	33	Cardinals	14	28
Broncos	44	Browns	10	20
Colts	37	Seahawks	24	48
Jets	34	Patriots	17	34
Packers	31	49ers	28	56
Vikings	28	Bears	16	32
Titans	27	Jaguars	13	26
Lions	28	Buccaneers	14	28
Colts	30	Patriots	23	46
Bengals	31	Broncos	21	42
Saints	21	Falcons	19	38
Eagles	13	Bears	9	18
Vikings	31	Bills	27	54
Chiefs	54	Rams	34	68
Cowboys	48	Cardinals	7	14
Titans	14	Ravens	6	12
Panthers	34	49ers	16	32
Raiders	31	Seahawks	3	6
Steelers	22	Browns	0	0
Redskins	35	Jaguars	16	32
Jets	40	Dolphins	37	74
Falcons	13	Panthers	12	24
Bengals	12	Browns	3	6
Colts	30	Lions	18	36
Dolphins	28	Packers	20	40
Buccaneers	41	Vikings	13	26
Steelers	9	Ravens	6	12
Bills	23	Jets	20	40
Saints	21	Cardinals	10	20
Rams	34	49ers	24	48
Giants	24	Eagles	7	14
Chiefs	24	Seahawks	19	38
