Winner	Score	Loser	Score	Goodness
Broncos	13	Bears	10	20
Cardinals	21	49ers	19	38
Chargers	37	Bills	10	20
Packers	46	Raiders	16	32
Giants	37	Cowboys	34	68
Seahawks	30	Rams	13	26
Falcons	41	Jaguars	14	28
Cowboys	31	Buccaneers	15	30
Colts	27	Titans	13	26
Redskins	23	Giants	10	20
Seahawks	38	Bears	14	28
Dolphins	30	Bills	23	46
Bengals	20	Rams	13	26
Saints	42	Vikings	20	40
Chiefs	19	Packers	14	28
Panthers	28	Texans	13	26
Lions	28	Raiders	27	54
Eagles	45	Jets	19	38
Cardinals	20	Browns	17	34
Patriots	41	Broncos	23	46
Chargers	34	Ravens	14	28
49ers	20	Steelers	3	6
Colts	19	Texans	16	32
Bills	40	Broncos	14	28
Steelers	27	Rams	0	0
Bengals	23	Cardinals	16	32
Panthers	48	Buccaneers	16	32
Vikings	33	Redskins	26	52
Patriots	27	Dolphins	24	48
Ravens	20	Browns	14	28
Titans	23	Jaguars	17	34
Raiders	16	Chiefs	13	26
Giants	29	Jets	14	28
Lions	38	Chargers	10	20
49ers	19	Seahawks	17	34
Eagles	20	Cowboys	7	14
Packers	35	Bears	21	42
Saints	45	Falcons	16	32
Dolphins	19	Jets	17	34
Patriots	49	Bills	21	42
49ers	34	Rams	27	54
Saints	45	Panthers	17	34
Bears	17	Vikings	13	26
Packers	45	Lions	41	82
Eagles	34	Redskins	10	20
Jaguars	19	Colts	13	26
Titans	23	Texans	22	44
Falcons	45	Buccaneers	24	48
Chargers	38	Raiders	26	52
Chiefs	7	Broncos	3	6
Steelers	13	Browns	9	18
Ravens	24	Bengals	16	32
Cardinals	23	Seahawks	20	40
Giants	31	Cowboys	14	28
