Winner	Score	Loser	Score	Goodness
Redskins	16	Jets	13	26
Vikings	30	Packers	25	50
Giants	23	Rams	13	26
Bills	31	Patriots	0	0
Chiefs	27	Chargers	14	28
Panthers	24	Jaguars	23	46
Texans	21	Dolphins	20	40
Steelers	34	Ravens	15	30
Colts	9	Browns	6	12
Lions	42	Cardinals	24	48
Broncos	30	Bengals	10	20
Falcons	27	Cowboys	13	26
Seahawks	27	Saints	10	20
49ers	49	Bears	7	14
Titans	25	Raiders	20	40
Buccaneers	17	Eagles	0	0
Bills	38	Jaguars	17	34
Ravens	33	Browns	13	26
Redskins	33	Falcons	31	62
Colts	33	Titans	7	14
Rams	27	49ers	24	48
Chiefs	41	Steelers	20	40
Dolphins	21	Jets	10	20
Saints	31	Texans	10	20
Packers	31	Lions	6	12
Seahawks	38	Cardinals	0	0
Panthers	12	Buccaneers	9	18
Patriots	31	Eagles	10	20
Broncos	37	Chargers	13	26
Raiders	23	Bengals	20	40
Vikings	24	Bears	13	26
Cowboys	35	Giants	32	64
Chiefs	42	Texans	14	28
Colts	23	Jaguars	13	26
Buccaneers	31	Falcons	10	20
Steelers	17	Bengals	10	20
Vikings	23	Lions	13	26
Titans	27	Saints	12	24
Patriots	23	Jets	16	32
Seahawks	24	Rams	23	46
Giants	24	Redskins	21	42
Cardinals	20	Packers	13	26
Ravens	24	Chargers	10	20
Browns	13	49ers	12	24
Dolphins	17	Bills	7	14
Broncos	31	Raiders	10	20
Redskins	20	Patriots	17	34
Titans	30	Steelers	13	26
Eagles	23	Bills	13	26
Bengals	21	Browns	14	28
Rams	37	Cardinals	13	26
Vikings	35	49ers	7	14
Texans	24	Jaguars	20	40
Chiefs	17	Ravens	10	20
Raiders	34	Chargers	31	62
Cowboys	17	Jets	6	12
Panthers	23	Falcons	3	6
Broncos	20	Lions	16	32
Colts	55	Saints	21	42
Packers	38	Bears	23	46
Packers	35	Seahawks	13	26
Chiefs	24	Broncos	23	46
Vikings	39	Falcons	26	52
Bears	24	Raiders	21	42
Panthers	19	Saints	13	26
Patriots	38	Titans	30	60
Cowboys	24	Cardinals	7	14
Bills	22	Bengals	16	32
Dolphins	23	Giants	10	20
Jaguars	27	Chargers	21	42
Eagles	27	Redskins	25	50
49ers	24	Lions	17	34
Browns	33	Steelers	13	26
Colts	38	Buccaneers	35	70
Cowboys	23	Eagles	21	42
