Winner	Score	Loser	Score	Goodness
Colts	41	Saints	10	20
Broncos	15	Bills	14	28
Titans	13	Jaguars	10	20
Redskins	16	Dolphins	13	26
Panthers	27	Rams	13	26
Patriots	38	Jets	14	28
Vikings	24	Falcons	3	6
Steelers	34	Browns	7	14
Packers	16	Eagles	13	26
Texans	20	Chiefs	3	6
Seahawks	20	Buccaneers	6	12
Chargers	14	Bears	3	6
Lions	36	Raiders	21	42
Cowboys	45	Giants	35	70
Bengals	27	Ravens	20	40
49ers	20	Cardinals	17	34
Texans	34	Panthers	21	42
Browns	51	Bengals	45	90
Colts	22	Titans	20	40
Buccaneers	31	Saints	14	28
49ers	17	Rams	16	32
Steelers	26	Bills	3	6
Packers	35	Giants	13	26
Jaguars	13	Falcons	7	14
Cardinals	23	Seahawks	20	40
Cowboys	37	Dolphins	20	40
Lions	20	Vikings	17	34
Broncos	23	Raiders	20	40
Bears	20	Chiefs	10	20
Ravens	20	Jets	13	26
Patriots	38	Chargers	14	28
Redskins	20	Eagles	12	24
Chiefs	13	Vikings	10	20
Colts	30	Texans	24	48
Jets	31	Dolphins	28	56
Eagles	56	Lions	21	42
Steelers	37	49ers	16	32
Buccaneers	24	Rams	3	6
Patriots	38	Bills	7	14
Packers	31	Chargers	24	48
Ravens	26	Cardinals	23	46
Seahawks	24	Bengals	21	42
Raiders	26	Browns	24	48
Jaguars	23	Broncos	14	28
Panthers	27	Falcons	20	40
Giants	24	Redskins	17	34
Cowboys	34	Bears	10	20
Titans	31	Saints	14	28
Falcons	26	Texans	16	32
Bills	17	Jets	14	28
Browns	27	Ravens	13	26
Cowboys	35	Rams	7	14
Lions	37	Bears	27	54
Raiders	35	Dolphins	17	34
Packers	23	Vikings	16	32
Buccaneers	20	Panthers	7	14
Seahawks	23	49ers	3	6
Cardinals	21	Steelers	14	28
Colts	38	Broncos	20	40
Chiefs	30	Chargers	16	32
Giants	16	Eagles	3	6
Patriots	34	Bengals	13	26
Texans	22	Dolphins	19	38
Jaguars	17	Chiefs	7	14
Patriots	34	Browns	17	34
Panthers	16	Saints	13	26
Giants	35	Jets	24	48
Steelers	21	Seahawks	0	0
Cardinals	34	Rams	31	62
Redskins	34	Lions	3	6
Titans	20	Falcons	13	26
Colts	33	Buccaneers	14	28
Chargers	41	Broncos	3	6
Ravens	9	49ers	7	14
Bears	27	Packers	20	40
Cowboys	25	Bills	24	48
Ravens	22	Rams	3	6
Vikings	34	Bears	31	62
Browns	41	Dolphins	31	62
Packers	17	Redskins	14	28
Jaguars	37	Texans	17	34
Chiefs	27	Bengals	20	40
Eagles	16	Jets	9	18
Buccaneers	13	Titans	10	20
Panthers	25	Cardinals	10	20
Patriots	48	Cowboys	27	54
Chargers	28	Raiders	14	28
Saints	28	Seahawks	17	34
Giants	31	Falcons	10	20
Bills	19	Ravens	14	28
Saints	22	Falcons	16	32
Redskins	21	Cardinals	19	38
Giants	33	49ers	15	30
Patriots	49	Dolphins	28	56
Titans	38	Texans	36	72
Lions	23	Buccaneers	16	32
Chiefs	12	Raiders	10	20
Bengals	38	Jets	31	62
Seahawks	33	Rams	6	12
Bears	19	Eagles	16	32
Cowboys	24	Vikings	14	28
Broncos	31	Steelers	28	56
Colts	29	Jaguars	7	14
Colts	31	Panthers	7	14
Browns	27	Rams	20	40
Eagles	23	Vikings	16	32
Giants	13	Dolphins	10	20
Steelers	24	Bengals	13	26
Lions	16	Bears	7	14
Titans	13	Raiders	9	18
Jaguars	24	Buccaneers	23	46
Chargers	35	Texans	10	20
Bills	13	Jets	3	6
Saints	31	49ers	10	20
Patriots	52	Redskins	7	14
Packers	19	Broncos	13	26
Falcons	20	49ers	16	32
Bills	33	Bengals	21	42
Lions	44	Broncos	7	14
Packers	33	Chiefs	22	44
Vikings	35	Chargers	17	34
Saints	41	Jaguars	24	48
Redskins	23	Jets	20	40
