Winner	Score	Loser	Score	Goodness
Ravens	19	Raiders	14	28
Colts	20	Cardinals	13	26
Panthers	29	Falcons	6	12
Rams	26	Bengals	16	32
Vikings	17	Lions	13	26
Packers	34	Buccaneers	3	6
Chiefs	20	Oilers	19	38
Dolphins	24	Patriots	10	20
49ers	27	Saints	11	22
Broncos	31	Jets	6	12
Eagles	17	Redskins	14	28
Jaguars	24	Steelers	9	18
Chargers	29	Seahawks	7	14
Bills	23	Giants	20	40
Bears	22	Cowboys	6	12
Steelers	31	Ravens	17	34
Vikings	23	Falcons	17	34
Panthers	22	Saints	20	40
Redskins	10	Bears	3	6
Chargers	27	Bengals	14	28
Broncos	30	Seahawks	20	40
Oilers	34	Jaguars	27	54
Colts	21	Jets	7	14
Bills	17	Patriots	10	20
Cowboys	27	Giants	0	0
Chiefs	19	Raiders	3	6
49ers	34	Rams	0	0
Lions	21	Buccaneers	6	12
Dolphins	38	Cardinals	10	20
Packers	39	Eagles	13	26
Patriots	31	Cardinals	0	0
Oilers	29	Ravens	13	26
Eagles	24	Lions	17	34
Colts	25	Cowboys	24	48
Raiders	17	Jaguars	3	6
Chiefs	35	Seahawks	17	34
Vikings	20	Bears	14	28
Bengals	30	Saints	15	30
Dolphins	36	Jets	27	54
Packers	42	Chargers	10	20
Redskins	31	Giants	10	20
Broncos	27	Buccaneers	23	46
Steelers	24	Bills	6	12
Cardinals	28	Saints	14	28
Lions	35	Bears	16	32
Eagles	33	Falcons	18	36
Vikings	30	Packers	21	42
Bills	10	Cowboys	7	14
Chiefs	17	Broncos	14	28
Redskins	17	Rams	10	20
Patriots	28	Jaguars	25	50
Giants	13	Jets	6	12
Chargers	40	Raiders	34	68
Panthers	23	49ers	7	14
Seahawks	17	Buccaneers	13	26
Colts	10	Dolphins	6	12
Jaguars	24	Panthers	14	28
Broncos	14	Bengals	10	20
Lions	27	Buccaneers	0	0
Packers	31	Seahawks	10	20
Steelers	30	Oilers	16	32
Chargers	22	Chiefs	19	38
49ers	39	Falcons	17	34
Ravens	17	Saints	10	20
Bears	19	Raiders	17	34
Cardinals	31	Rams	28	56
Redskins	31	Jets	16	32
Giants	15	Vikings	10	20
Cowboys	23	Eagles	19	38
Patriots	46	Ravens	38	76
Raiders	34	Jets	13	26
Broncos	28	Chargers	17	34
49ers	28	Rams	11	22
Seahawks	22	Dolphins	15	30
Saints	17	Jaguars	13	26
Oilers	30	Bengals	27	54
Lions	28	Falcons	24	48
Vikings	14	Panthers	12	24
Packers	37	Bears	6	12
Bills	16	Colts	13	26
Steelers	17	Chiefs	7	14
Cowboys	17	Cardinals	3	6
Saints	27	Bears	24	48
Steelers	20	Bengals	10	20
Raiders	37	Lions	21	42
Oilers	23	Falcons	13	26
Dolphins	21	Bills	7	14
Buccaneers	24	Vikings	13	26
Jaguars	21	Jets	17	34
Eagles	19	Giants	10	20
Panthers	45	Rams	13	26
Redskins	27	Patriots	22	44
Colts	26	Ravens	21	42
Packers	23	49ers	20	40
Chiefs	34	Seahawks	16	32
Broncos	45	Ravens	34	68
Bills	25	Jets	22	44
