Winner	Score	Loser	Score	Goodness
Saints	14	Vikings	9	18
Buccaneers	17	Browns	14	28
Steelers	15	Falcons	9	18
Bears	19	Lions	14	28
Giants	31	Panthers	18	36
Titans	38	Raiders	13	26
Jaguars	24	Broncos	17	34
Dolphins	15	Bills	10	20
Patriots	38	Bengals	24	48
Texans	34	Colts	24	48
Packers	27	Eagles	20	40
Cardinals	17	Rams	13	26
Seahawks	31	49ers	6	12
Redskins	13	Cowboys	7	14
Ravens	10	Jets	9	18
Chiefs	21	Chargers	14	28
Packers	34	Bills	7	14
Bengals	15	Ravens	10	20
Buccaneers	20	Panthers	7	14
Falcons	41	Cardinals	7	14
Eagles	35	Lions	32	64
Bears	27	Cowboys	20	40
Steelers	19	Titans	11	22
Dolphins	14	Vikings	10	20
Chiefs	16	Browns	14	28
Raiders	16	Rams	14	28
Broncos	31	Seahawks	14	28
Jets	28	Patriots	14	28
Chargers	38	Jaguars	13	26
Texans	30	Redskins	27	54
Colts	38	Giants	14	28
Saints	25	49ers	22	44
Titans	29	Giants	10	20
Bengals	20	Panthers	7	14
Steelers	38	Buccaneers	13	26
Patriots	38	Bills	30	60
Cowboys	27	Texans	13	26
Vikings	24	Lions	10	20
Falcons	27	Saints	24	48
Chiefs	31	49ers	10	20
Ravens	24	Browns	17	34
Rams	30	Redskins	16	32
Eagles	28	Jaguars	3	6
Colts	27	Broncos	13	26
Cardinals	24	Raiders	23	46
Seahawks	27	Chargers	20	40
Jets	31	Dolphins	23	46
Bears	20	Packers	17	34
Jets	38	Bills	14	28
Browns	23	Bengals	20	40
Ravens	17	Steelers	14	28
Broncos	26	Titans	20	40
Packers	28	Lions	26	52
Falcons	16	49ers	14	28
Saints	16	Panthers	14	28
Rams	20	Seahawks	3	6
Jaguars	31	Colts	28	56
Texans	31	Raiders	24	48
Redskins	17	Eagles	12	24
Chargers	41	Cardinals	10	20
Giants	17	Bears	3	6
Patriots	41	Dolphins	14	28
Jaguars	36	Bills	26	52
Ravens	31	Broncos	17	34
Colts	19	Chiefs	9	18
Redskins	16	Packers	13	26
Lions	44	Rams	6	12
Bears	23	Panthers	6	12
Buccaneers	24	Bengals	21	42
Giants	34	Texans	10	20
Falcons	20	Browns	10	20
Cardinals	30	Saints	20	40
Titans	34	Cowboys	27	54
Raiders	35	Chargers	27	54
Eagles	27	49ers	24	48
Jets	29	Vikings	20	40
Dolphins	23	Packers	20	40
Rams	20	Chargers	17	34
Patriots	23	Ravens	20	40
Steelers	28	Browns	10	20
Texans	35	Chiefs	31	62
Giants	28	Lions	20	40
Eagles	31	Falcons	17	34
Saints	31	Buccaneers	6	12
Seahawks	23	Bears	20	40
Jets	24	Broncos	20	40
49ers	17	Raiders	9	18
Vikings	24	Cowboys	21	42
Colts	27	Redskins	24	48
Titans	30	Jaguars	3	6
Falcons	39	Bengals	32	64
