Winner	Score	Loser	Score	Goodness
Giants	16	Redskins	7	14
Bills	34	Seahawks	10	20
Jets	20	Dolphins	14	28
Patriots	17	Chiefs	10	20
Saints	24	Buccaneers	20	40
Eagles	38	Rams	3	6
Steelers	38	Texans	17	34
Titans	17	Jaguars	10	20
Ravens	17	Bengals	10	20
Falcons	34	Lions	21	42
Panthers	26	Chargers	24	48
Cardinals	23	49ers	13	26
Cowboys	28	Browns	10	20
Bears	29	Colts	13	26
Packers	24	Vikings	19	38
Broncos	41	Raiders	13	26
Panthers	20	Bears	17	34
Titans	24	Bengals	7	14
Redskins	29	Saints	24	48
Giants	41	Rams	13	26
Colts	18	Vikings	15	30
Raiders	23	Chiefs	8	16
Bills	20	Jaguars	16	32
Packers	48	Lions	25	50
Buccaneers	24	Falcons	9	18
49ers	33	Seahawks	30	60
Patriots	19	Jets	10	20
Broncos	39	Chargers	38	76
Cardinals	31	Dolphins	10	20
Steelers	10	Browns	6	12
Cowboys	41	Eagles	37	74
Falcons	38	Chiefs	14	28
Bills	24	Raiders	23	46
Redskins	24	Cardinals	17	34
Titans	31	Texans	12	24
Giants	26	Bengals	23	46
Dolphins	38	Patriots	13	26
Vikings	20	Panthers	10	20
Buccaneers	27	Bears	24	48
Broncos	34	Saints	32	64
Seahawks	37	Rams	13	26
49ers	31	Lions	13	26
Eagles	15	Steelers	6	12
Jaguars	23	Colts	21	42
Ravens	28	Browns	10	20
Cowboys	27	Packers	16	32
Chargers	48	Jets	29	58
Panthers	24	Falcons	9	18
Browns	20	Bengals	12	24
Jaguars	30	Texans	27	54
Chiefs	33	Broncos	19	38
Saints	31	49ers	17	34
Jets	56	Cardinals	35	70
Buccaneers	30	Packers	21	42
Titans	30	Vikings	17	34
Chargers	28	Raiders	18	36
Bills	31	Rams	14	28
Redskins	26	Cowboys	24	48
Bears	24	Eagles	20	40
Steelers	23	Ravens	20	40
Titans	13	Ravens	10	20
Panthers	34	Chiefs	0	0
