Winner	Score	Loser	Score	Goodness
Patriots	30	Raiders	20	40
Chiefs	27	Jets	7	14
Saints	23	Panthers	20	40
Bills	22	Texans	7	14
Jaguars	26	Seahawks	14	28
Steelers	34	Titans	7	14
Dolphins	34	Broncos	10	20
Bengals	27	Browns	13	26
Buccaneers	24	Vikings	13	26
Redskins	9	Bears	7	14
Cowboys	28	Chargers	24	48
49ers	28	Rams	25	50
Giants	42	Cardinals	19	38
Lions	17	Packers	3	6
Colts	24	Ravens	7	14
Falcons	14	Eagles	10	20
Colts	10	Jaguars	3	6
Bears	38	Lions	6	12
Panthers	27	Patriots	17	34
Steelers	27	Texans	7	14
Eagles	42	49ers	3	6
Bengals	37	Vikings	8	16
Buccaneers	19	Bills	3	6
Titans	25	Ravens	10	20
Rams	17	Cardinals	12	24
Seahawks	21	Falcons	18	36
Jets	17	Dolphins	7	14
Broncos	20	Chargers	17	34
Browns	26	Packers	24	48
Chiefs	23	Raiders	17	34
Giants	27	Saints	10	20
Redskins	14	Cowboys	13	26
Falcons	24	Bills	16	32
Dolphins	27	Panthers	24	48
Bengals	24	Bears	7	14
Colts	13	Browns	6	12
Jaguars	26	Jets	20	40
Vikings	33	Saints	16	32
Eagles	23	Raiders	20	40
Rams	31	Titans	27	54
Buccaneers	17	Packers	16	32
Seahawks	37	Cardinals	12	24
Cowboys	34	49ers	31	62
Patriots	23	Steelers	20	40
Chargers	45	Giants	23	46
Broncos	30	Chiefs	10	20
Saints	19	Bills	7	14
Broncos	20	Jaguars	7	14
Buccaneers	17	Lions	13	26
Bengals	16	Texans	10	20
Colts	31	Titans	10	20
Chargers	41	Patriots	17	34
Giants	44	Rams	24	48
Redskins	20	Seahawks	17	34
Ravens	13	Jets	3	6
Raiders	19	Cowboys	13	26
Falcons	30	Vikings	10	20
Eagles	37	Chiefs	31	62
Cardinals	31	49ers	14	28
Panthers	32	Packers	29	58
Lions	35	Ravens	17	34
Browns	20	Bears	10	20
Bills	20	Dolphins	14	28
Patriots	31	Falcons	28	56
Packers	52	Saints	3	6
Seahawks	37	Rams	31	62
Jets	14	Buccaneers	12	24
Titans	34	Texans	20	40
Colts	28	49ers	3	6
Panthers	24	Cardinals	20	40
Cowboys	33	Eagles	10	20
Broncos	21	Redskins	19	38
Jaguars	23	Bengals	20	40
Steelers	24	Chargers	22	44
Falcons	34	Saints	31	62
Panthers	21	Lions	20	40
Bengals	31	Titans	23	46
Ravens	16	Browns	3	6
Jaguars	23	Steelers	17	34
Buccaneers	27	Dolphins	13	26
Bears	28	Vikings	3	6
Chiefs	28	Redskins	21	42
Cowboys	16	Giants	13	26
Broncos	28	Patriots	20	40
Bills	27	Jets	17	34
Chargers	27	Raiders	14	28
Seahawks	42	Texans	10	20
Colts	45	Rams	28	56
Chiefs	30	Dolphins	20	40
Vikings	23	Packers	20	40
Colts	38	Texans	20	40
Rams	28	Saints	17	34
Steelers	27	Bengals	13	26
Lions	13	Browns	10	20
Eagles	20	Chargers	17	34
Redskins	52	49ers	17	34
Seahawks	13	Cowboys	10	20
Bears	10	Ravens	6	12
Raiders	38	Bills	17	34
