Winner	Score	Loser	Score	Goodness
Vikings	24	Bengals	3	6
Cowboys	35	Cardinals	28	56
Packers	37	Giants	3	6
Dolphins	13	Panthers	9	18
Bills	13	Patriots	10	20
Colts	24	Jets	23	46
Redskins	28	Eagles	3	6
Oilers	23	Steelers	14	28
Saints	24	Rams	3	6
Falcons	31	49ers	19	38
Raiders	20	Seahawks	17	34
Jaguars	29	Buccaneers	24	48
Lions	26	Bears	3	6
Broncos	30	Chiefs	7	14
Cardinals	45	Redskins	42	84
Ravens	20	Bengals	13	26
Panthers	24	Rams	20	40
Falcons	20	Bears	13	26
Lions	28	Buccaneers	25	50
Vikings	28	Packers	14	28
Bills	34	Colts	11	22
Steelers	30	Jaguars	15	30
Chargers	38	Chiefs	37	74
Jets	24	Oilers	3	6
Broncos	40	Raiders	14	28
Giants	20	Eagles	0	0
Cowboys	30	Seahawks	22	44
49ers	31	Saints	20	40
Patriots	26	Dolphins	23	46
Vikings	46	Cowboys	36	72
Lions	19	Steelers	16	32
Ravens	38	Colts	31	62
Jaguars	34	Bengals	17	34
Dolphins	30	Saints	10	20
Packers	24	Eagles	16	32
Buccaneers	31	Bears	17	34
Seahawks	20	Oilers	18	36
Redskins	29	Raiders	19	38
Broncos	31	Chargers	16	32
Falcons	21	Rams	10	20
Chiefs	34	Cardinals	24	48
Patriots	25	Bills	21	42
Jets	48	Panthers	21	42
49ers	31	Giants	7	14
Eagles	17	Rams	14	28
Oilers	16	Ravens	14	28
Bills	33	Bengals	20	40
Saints	22	Cowboys	3	6
Jaguars	37	Lions	22	44
Falcons	28	Colts	21	42
Dolphins	27	Raiders	17	34
Patriots	23	Steelers	9	18
Giants	23	Cardinals	19	38
Redskins	24	Chargers	20	40
49ers	31	Panthers	28	56
Jets	32	Seahawks	31	62
Vikings	48	Bears	22	44
Broncos	35	Chiefs	31	62
Buccaneers	24	Packers	22	44
Jets	21	Dolphins	16	32
Chiefs	20	Cowboys	17	34
Redskins	28	Panthers	25	50
Cardinals	20	Eagles	17	34
Falcons	27	Saints	17	34
Packers	26	Bears	20	40
Colts	39	Bengals	26	52
Oilers	16	Jaguars	13	26
Giants	20	Broncos	16	32
Vikings	38	Ravens	28	56
Rams	32	Patriots	18	36
Bills	44	Raiders	21	42
Buccaneers	16	Steelers	3	6
Seahawks	38	Chargers	17	34
49ers	35	Lions	13	26
Redskins	20	Buccaneers	16	32
Jets	17	Bills	10	20
Bengals	25	Steelers	24	48
Seahawks	27	Colts	23	46
Raiders	17	Chargers	10	20
Cardinals	19	Saints	17	34
Panthers	20	Rams	13	26
Patriots	24	49ers	21	42
Packers	30	Oilers	22	44
Vikings	50	Jaguars	10	20
Bears	24	Ravens	3	6
Falcons	24	Lions	17	34
Cowboys	13	Eagles	9	18
Giants	28	Chiefs	7	14
Dolphins	31	Broncos	21	42
Chiefs	31	Raiders	24	48
Vikings	26	Oilers	16	32
Ravens	19	Lions	10	20
Jets	31	Patriots	10	20
Packers	16	Bears	13	26
Panthers	27	Colts	19	38
Bills	45	Saints	33	66
Falcons	38	Dolphins	16	32
Giants	20	Eagles	10	20
49ers	38	Rams	19	38
Cardinals	16	Chargers	13	26
Broncos	28	Seahawks	21	42
Buccaneers	35	Bengals	0	0
Cowboys	23	Redskins	7	14
Jaguars	21	Steelers	3	6
